evento_id,funcionario_id,data_evento,tipo_evento,departamento_id,cargo_id,salario_anterior,salario_novo,motivo
EVT000001,FUNC00001,2025-01-16,Admissão,D04,C04,,8916.28,Contratação
EVT000002,FUNC00002,2025-03-07,Admissão,D01,C01,,3014.05,Contratação
EVT000003,FUNC00003,2024-07-21,Admissão,D04,C07,,23123.02,Contratação
EVT000004,FUNC00004,2023-04-20,Admissão,D04,C03,,6308.56,Contratação
EVT000005,FUNC00005,2023-08-28,Admissão,D05,C10,,8419.29,Contratação
EVT000006,FUNC00006,2023-07-19,Admissão,D06,C05,,9884.53,Contratação
EVT000007,FUNC00007,2024-01-18,Admissão,D02,C14,,4076.03,Contratação
EVT000008,FUNC00008,2023-08-05,Admissão,D05,C11,,2228.07,Contratação
EVT000009,FUNC00009,2024-04-18,Admissão,D05,C07,,24473.81,Contratação
EVT000010,FUNC00010,2023-11-07,Admissão,D01,C04,,8516.97,Contratação
EVT000011,FUNC00011,2023-11-27,Admissão,D08,C07,,22357.18,Contratação
EVT000012,FUNC00012,2024-03-12,Admissão,D07,C07,,22904.99,Contratação
EVT000013,FUNC00013,2025-05-28,Admissão,D03,C03,,6341.58,Contratação
EVT000014,FUNC00014,2023-01-17,Admissão,D01,C09,,5568.03,Contratação
EVT000015,FUNC00015,2023-10-06,Admissão,D03,C07,,23134.31,Contratação
EVT000016,FUNC00016,2025-01-27,Admissão,D04,C14,,4030.57,Contratação
EVT000017,FUNC00017,2025-08-31,Admissão,D01,C08,,3500.0,Contratação
EVT000018,FUNC00018,2025-03-24,Admissão,D02,C14,,4195.6,Contratação
EVT000019,FUNC00019,2024-09-28,Admissão,D07,C14,,4192.87,Contratação
EVT000020,FUNC00020,2023-12-03,Admissão,D08,C08,,3500.0,Contratação
EVT000021,FUNC00021,2024-05-18,Admissão,D02,C01,,3106.18,Contratação
EVT000022,FUNC00022,2023-10-26,Admissão,D05,C04,,8598.61,Contratação
EVT000023,FUNC00023,2023-01-07,Admissão,D07,C13,,2180.96,Contratação
EVT000024,FUNC00024,2023-05-14,Admissão,D02,C11,,2202.42,Contratação
EVT000025,FUNC00025,2023-02-26,Admissão,D05,C03,,6407.47,Contratação
EVT000026,FUNC00026,2025-02-13,Admissão,D01,C14,,4193.8,Contratação
EVT000027,FUNC00027,2024-06-21,Admissão,D03,C01,,3056.85,Contratação
EVT000028,FUNC00028,2024-01-26,Admissão,D08,C11,,2206.19,Contratação
EVT000029,FUNC00029,2025-04-30,Admissão,D01,C01,,3087.63,Contratação
EVT000030,FUNC00030,2022-10-27,Admissão,D02,C02,,4533.76,Contratação
EVT000031,FUNC00031,2024-04-15,Admissão,D02,C01,,3062.88,Contratação
EVT000032,FUNC00032,2024-03-16,Admissão,D05,C04,,8762.53,Contratação
EVT000033,FUNC00033,2025-04-06,Admissão,D02,C10,,8492.67,Contratação
EVT000034,FUNC00034,2023-09-18,Admissão,D06,C04,,8829.01,Contratação
EVT000035,FUNC00035,2022-09-14,Admissão,D02,C05,,9812.21,Contratação
EVT000036,FUNC00036,2024-10-18,Admissão,D04,C10,,8428.24,Contratação
EVT000037,FUNC00037,2022-11-01,Admissão,D01,C14,,4018.46,Contratação
EVT000038,FUNC00038,2024-12-08,Admissão,D08,C03,,6389.66,Contratação
EVT000039,FUNC00039,2024-10-31,Admissão,D06,C14,,4116.5,Contratação
EVT000040,FUNC00040,2023-08-17,Admissão,D04,C06,,14000.0,Contratação
EVT000041,FUNC00041,2023-05-23,Admissão,D03,C04,,8414.28,Contratação
EVT000042,FUNC00042,2023-10-22,Admissão,D04,C13,,2173.32,Contratação
EVT000043,FUNC00043,2023-01-12,Admissão,D08,C14,,4069.93,Contratação
EVT000044,FUNC00044,2023-06-08,Admissão,D02,C14,,4193.38,Contratação
EVT000045,FUNC00045,2023-10-24,Admissão,D03,C05,,9883.88,Contratação
EVT000046,FUNC00046,2023-09-25,Admissão,D02,C07,,22962.99,Contratação
EVT000047,FUNC00047,2023-03-23,Admissão,D04,C13,,2163.58,Contratação
EVT000048,FUNC00048,2024-12-20,Admissão,D05,C09,,5566.69,Contratação
EVT000049,FUNC00049,2024-12-15,Admissão,D07,C11,,2227.09,Contratação
EVT000050,FUNC00050,2025-09-01,Admissão,D07,C04,,8528.54,Contratação
EVT000051,FUNC00051,2023-03-11,Admissão,D08,C09,,5579.37,Contratação
EVT000052,FUNC00052,2023-10-16,Admissão,D05,C11,,2208.99,Contratação
EVT000053,FUNC00053,2023-01-02,Admissão,D07,C08,,3500.0,Contratação
EVT000054,FUNC00054,2022-11-24,Admissão,D01,C03,,6321.47,Contratação
EVT000055,FUNC00055,2022-10-07,Admissão,D04,C09,,5591.75,Contratação
EVT000056,FUNC00056,2022-09-10,Admissão,D08,C06,,14000.0,Contratação
EVT000057,FUNC00057,2023-03-03,Admissão,D08,C12,,3540.08,Contratação
EVT000058,FUNC00058,2022-09-30,Admissão,D08,C05,,9984.5,Contratação
EVT000059,FUNC00059,2025-03-20,Admissão,D07,C04,,8583.63,Contratação
EVT000060,FUNC00060,2023-01-21,Admissão,D07,C04,,8766.31,Contratação
EVT000061,FUNC00061,2023-07-15,Admissão,D05,C06,,14000.0,Contratação
EVT000062,FUNC00062,2024-06-07,Admissão,D07,C05,,9902.87,Contratação
EVT000063,FUNC00063,2023-05-27,Admissão,D08,C14,,4183.91,Contratação
EVT000064,FUNC00064,2025-07-08,Admissão,D08,C03,,6463.65,Contratação
EVT000065,FUNC00065,2023-11-02,Admissão,D07,C05,,9949.55,Contratação
EVT000066,FUNC00066,2025-05-18,Admissão,D02,C11,,2231.25,Contratação
EVT000067,FUNC00067,2025-07-22,Admissão,D03,C04,,8715.86,Contratação
EVT000068,FUNC00068,2024-03-26,Admissão,D02,C03,,6344.44,Contratação
EVT000069,FUNC00069,2023-12-03,Admissão,D04,C07,,22189.99,Contratação
EVT000070,FUNC00070,2023-12-24,Admissão,D02,C13,,2120.38,Contratação
EVT000071,FUNC00071,2023-08-05,Admissão,D06,C11,,2200.51,Contratação
EVT000072,FUNC00072,2023-08-22,Admissão,D03,C12,,3522.58,Contratação
EVT000073,FUNC00073,2022-12-16,Admissão,D05,C14,,4064.46,Contratação
EVT000074,FUNC00074,2024-04-20,Admissão,D07,C10,,8466.36,Contratação
EVT000075,FUNC00075,2023-09-06,Admissão,D05,C06,,14000.0,Contratação
EVT000076,FUNC00076,2024-08-06,Admissão,D07,C12,,3586.29,Contratação
EVT000077,FUNC00077,2022-12-01,Admissão,D05,C02,,4511.08,Contratação
EVT000078,FUNC00078,2023-01-06,Admissão,D07,C06,,14000.0,Contratação
EVT000079,FUNC00079,2024-02-25,Admissão,D02,C04,,8567.23,Contratação
EVT000080,FUNC00080,2024-08-18,Admissão,D08,C12,,3331.8,Contratação
EVT000081,FUNC00081,2025-02-08,Admissão,D04,C05,,9927.82,Contratação
EVT000082,FUNC00082,2024-02-18,Admissão,D05,C09,,5569.74,Contratação
EVT000083,FUNC00083,2025-02-03,Admissão,D05,C10,,8453.06,Contratação
EVT000084,FUNC00084,2024-04-02,Admissão,D02,C02,,4520.04,Contratação
EVT000085,FUNC00085,2024-10-26,Admissão,D02,C05,,9801.22,Contratação
EVT000086,FUNC00086,2024-05-27,Admissão,D08,C07,,24271.26,Contratação
EVT000087,FUNC00087,2025-05-01,Admissão,D04,C13,,2137.45,Contratação
EVT000088,FUNC00088,2024-09-11,Admissão,D01,C03,,6418.3,Contratação
EVT000089,FUNC00089,2024-01-20,Admissão,D08,C12,,3085.42,Contratação
EVT000090,FUNC00090,2024-07-23,Admissão,D04,C09,,5564.76,Contratação
EVT000091,FUNC00091,2023-12-12,Admissão,D08,C05,,9975.13,Contratação
EVT000092,FUNC00092,2022-11-12,Admissão,D02,C08,,3500.0,Contratação
EVT000093,FUNC00093,2025-07-11,Admissão,D01,C11,,2239.98,Contratação
EVT000094,FUNC00094,2024-09-08,Admissão,D08,C11,,2236.64,Contratação
EVT000095,FUNC00095,2022-11-29,Admissão,D07,C06,,14000.0,Contratação
EVT000096,FUNC00096,2022-11-22,Admissão,D01,C14,,4090.97,Contratação
EVT000097,FUNC00097,2023-05-28,Admissão,D01,C14,,4131.53,Contratação
EVT000098,FUNC00098,2022-10-06,Admissão,D08,C13,,2137.46,Contratação
EVT000099,FUNC00099,2024-01-21,Admissão,D01,C02,,4548.66,Contratação
EVT000100,FUNC00100,2025-08-04,Admissão,D04,C02,,4549.61,Contratação
EVT000101,FUNC00101,2024-10-21,Admissão,D05,C09,,5541.55,Contratação
EVT000102,FUNC00102,2024-11-09,Admissão,D03,C10,,8413.6,Contratação
EVT000103,FUNC00103,2022-10-28,Admissão,D05,C05,,9832.5,Contratação
EVT000104,FUNC00104,2023-03-02,Admissão,D06,C06,,14000.0,Contratação
EVT000105,FUNC00105,2024-08-11,Admissão,D07,C10,,8476.64,Contratação
EVT000106,FUNC00106,2023-07-14,Admissão,D01,C08,,3500.0,Contratação
EVT000107,FUNC00107,2023-03-15,Admissão,D01,C08,,3500.0,Contratação
EVT000108,FUNC00108,2024-03-08,Admissão,D07,C12,,3779.8,Contratação
EVT000109,FUNC00109,2023-11-23,Admissão,D01,C14,,4123.49,Contratação
EVT000110,FUNC00110,2024-05-24,Admissão,D02,C07,,23900.92,Contratação
EVT000111,FUNC00111,2025-07-04,Admissão,D01,C13,,2170.66,Contratação
EVT000112,FUNC00112,2023-05-12,Admissão,D03,C03,,6484.21,Contratação
EVT000113,FUNC00113,2024-11-12,Admissão,D05,C11,,2218.38,Contratação
EVT000114,FUNC00114,2024-10-13,Admissão,D05,C06,,14000.0,Contratação
EVT000115,FUNC00115,2023-12-23,Admissão,D08,C14,,4021.33,Contratação
EVT000116,FUNC00116,2024-01-06,Admissão,D01,C05,,9886.81,Contratação
EVT000117,FUNC00117,2024-01-24,Admissão,D06,C10,,8478.1,Contratação
EVT000118,FUNC00118,2024-11-25,Admissão,D01,C11,,2212.36,Contratação
EVT000119,FUNC00119,2024-12-06,Admissão,D07,C06,,14000.0,Contratação
EVT000120,FUNC00120,2024-02-21,Admissão,D08,C05,,9806.52,Contratação
EVT000121,FUNC00121,2025-01-09,Admissão,D04,C03,,6327.97,Contratação
EVT000122,FUNC00122,2023-06-16,Admissão,D02,C09,,5545.48,Contratação
EVT000123,FUNC00123,2023-08-03,Admissão,D01,C08,,3500.0,Contratação
EVT000124,FUNC00124,2025-04-25,Admissão,D05,C12,,3779.09,Contratação
EVT000125,FUNC00125,2023-12-18,Admissão,D04,C02,,4544.36,Contratação
EVT000126,FUNC00126,2023-04-27,Admissão,D02,C07,,24084.23,Contratação
EVT000127,FUNC00127,2023-08-05,Admissão,D04,C08,,3500.0,Contratação
EVT000128,FUNC00128,2023-08-29,Admissão,D04,C05,,9806.36,Contratação
EVT000129,FUNC00129,2025-07-20,Admissão,D03,C04,,8527.81,Contratação
EVT000130,FUNC00130,2024-07-04,Admissão,D04,C14,,4065.71,Contratação
EVT000131,FUNC00131,2024-11-09,Admissão,D03,C05,,9978.01,Contratação
EVT000132,FUNC00132,2024-05-02,Admissão,D03,C01,,3039.81,Contratação
EVT000133,FUNC00133,2025-04-24,Admissão,D06,C13,,2148.68,Contratação
EVT000134,FUNC00134,2025-06-05,Admissão,D08,C05,,9871.33,Contratação
EVT000135,FUNC00135,2023-04-12,Admissão,D08,C08,,3500.0,Contratação
EVT000136,FUNC00136,2024-12-17,Admissão,D06,C11,,2215.24,Contratação
EVT000137,FUNC00137,2023-04-04,Admissão,D04,C14,,4086.01,Contratação
EVT000138,FUNC00138,2023-06-08,Admissão,D07,C06,,14000.0,Contratação
EVT000139,FUNC00139,2023-01-04,Admissão,D02,C14,,4018.65,Contratação
EVT000140,FUNC00140,2024-12-09,Admissão,D06,C10,,8433.0,Contratação
EVT000141,FUNC00141,2023-04-19,Admissão,D05,C05,,9929.67,Contratação
EVT000142,FUNC00142,2022-12-19,Admissão,D06,C06,,14000.0,Contratação
EVT000143,FUNC00143,2025-07-10,Admissão,D03,C01,,3040.99,Contratação
EVT000144,FUNC00144,2024-11-12,Admissão,D03,C02,,4537.05,Contratação
EVT000145,FUNC00145,2023-07-24,Admissão,D03,C06,,14000.0,Contratação
EVT000146,FUNC00146,2025-05-17,Admissão,D01,C13,,2132.6,Contratação
EVT000147,FUNC00147,2023-03-11,Admissão,D02,C04,,8792.9,Contratação
EVT000148,FUNC00148,2022-12-10,Admissão,D04,C01,,3059.29,Contratação
EVT000149,FUNC00149,2024-06-26,Admissão,D05,C13,,2171.06,Contratação
EVT000150,FUNC00150,2024-09-07,Admissão,D04,C09,,5550.03,Contratação
EVT000151,FUNC00006,2025-09-10,Avaliação,D06,C05,,,Avaliação de desempenho: nota 1/5
EVT000152,FUNC00016,2025-09-06,Avaliação,D04,C14,,,Avaliação de desempenho: nota 1/5
EVT000153,FUNC00033,2025-09-15,Alteração Salarial,D02,C10,8492.67,9085.45,Ajuste de mercado
EVT000154,FUNC00037,2025-09-15,Transferência,D04,C14,,,Transferência de Diretoria para Financeiro
EVT000155,FUNC00040,2025-09-28,Avaliação,D04,C06,,,Avaliação de desempenho: nota 5/5
EVT000156,FUNC00052,2025-09-06,Transferência,D07,C11,,,Transferência de Vendas para Marketing
EVT000157,FUNC00060,2025-09-11,Alteração Salarial,D07,C04,8766.31,9103.86,Retenção de talento
EVT000158,FUNC00068,2025-09-13,Avaliação,D02,C03,,,Avaliação de desempenho: nota 1/5
