evento_id,funcionario_id,data_evento,tipo_evento,departamento_id,cargo_id,salario_anterior,salario_novo,motivo
EVT000348,FUNC00190,2026-04-28,Admissão,D06,C13,,2157.4,Contratação
EVT000349,FUNC00191,2026-04-02,Admissão,D03,C11,,2213.15,Contratação
EVT000350,FUNC00192,2026-04-03,Admissão,D02,C03,,6419.84,Contratação
EVT000351,FUNC00014,2026-04-29,Avaliação,D03,C09,,,Avaliação de desempenho: nota 4/5
EVT000352,FUNC00016,2026-04-15,Alteração Salarial,D04,C14,4030.57,4246.39,Ajuste de mercado
EVT000353,FUNC00029,2026-04-20,Alteração Salarial,D01,C01,3087.63,3359.05,Reajuste anual
EVT000354,FUNC00032,2026-04-06,Avaliação,D05,C04,,,Avaliação de desempenho: nota 4/5
EVT000355,FUNC00034,2026-04-09,Alteração Salarial,D06,C04,9874.17,10368.31,Retenção de talento
EVT000356,FUNC00036,2026-04-08,Avaliação,D08,C10,,,Avaliação de desempenho: nota 4/5
EVT000357,FUNC00042,2026-04-01,Avaliação,D03,C12,,,Avaliação de desempenho: nota 4/5
EVT000358,FUNC00056,2026-04-04,Avaliação,D08,C07,,,Avaliação de desempenho: nota 2/5
EVT000359,FUNC00061,2026-04-04,Alteração Salarial,D05,C06,14000.0,14626.84,Reajuste anual
EVT000360,FUNC00065,2026-04-07,Avaliação,D07,C05,,,Avaliação de desempenho: nota 4/5
EVT000361,FUNC00069,2026-04-11,Avaliação,D04,C07,,,Avaliação de desempenho: nota 4/5
EVT000362,FUNC00084,2026-04-05,Avaliação,D02,C02,,,Avaliação de desempenho: nota 5/5
EVT000363,FUNC00102,2026-04-22,Avaliação,D03,C10,,,Avaliação de desempenho: nota 2/5
EVT000364,FUNC00122,2026-04-15,Avaliação,D08,C09,,,Avaliação de desempenho: nota 5/5
EVT000365,FUNC00134,2026-04-02,Promoção,D08,C06,10910.8,14000,Promoção de Coordenador para Gerente
EVT000366,FUNC00149,2026-04-09,Avaliação,D05,C13,,,Avaliação de desempenho: nota 5/5
EVT000367,FUNC00154,2026-04-20,Alteração Salarial,D01,C05,10184.43,11344.58,Retenção de talento
EVT000368,FUNC00164,2026-04-13,Avaliação,D05,C08,,,Avaliação de desempenho: nota 2/5
