evento_id,funcionario_id,data_evento,tipo_evento,departamento_id,cargo_id,salario_anterior,salario_novo,motivo
EVT000316,FUNC00186,2026-03-31,Admissão,D04,C13,,2187.38,Contratação
EVT000317,FUNC00187,2026-03-27,Admissão,D05,C14,,4063.95,Contratação
EVT000318,FUNC00188,2026-03-18,Admissão,D08,C09,,5591.72,Contratação
EVT000319,FUNC00189,2026-03-26,Admissão,D03,C07,,22370.5,Contratação
EVT000320,FUNC00011,2026-03-13,Transferência,D04,C07,,,Transferência de Recursos Humanos para Financeiro
EVT000321,FUNC00024,2026-03-21,Avaliação,D02,C11,,,Avaliação de desempenho: nota 4/5
EVT000322,FUNC00037,2026-03-15,Alteração Salarial,D04,C03,6500,6905.82,Reajuste anual
EVT000323,FUNC00042,2026-03-22,Transferência,D03,C12,,,Transferência de Vendas para Tecnologia
EVT000324,FUNC00050,2026-03-13,Alteração Salarial,D05,C04,9119.89,10094.29,Reajuste anual
EVT000325,FUNC00054,2026-03-17,Promoção,D04,C04,6321.47,9000,Promoção de Analista Sênior para Especialista
EVT000326,FUNC00056,2026-03-22,Promoção,D08,C07,14000.0,22000,Promoção de Gerente para Diretor
EVT000327,FUNC00057,2026-03-30,Avaliação,D08,C12,,,Avaliação de desempenho: nota 2/5
EVT000328,FUNC00068,2026-03-04,Desligamento,D02,C03,6344.44,,Fim de contrato de experiência
EVT000329,FUNC00071,2026-03-22,Avaliação,D06,C11,,,Avaliação de desempenho: nota 1/5
EVT000330,FUNC00087,2026-03-24,Transferência,D07,C13,,,Transferência de Financeiro para Marketing
EVT000331,FUNC00098,2026-03-16,Avaliação,D08,C13,,,Avaliação de desempenho: nota 3/5
EVT000332,FUNC00108,2026-03-28,Avaliação,D07,C12,,,Avaliação de desempenho: nota 1/5
EVT000333,FUNC00121,2026-03-25,Avaliação,D04,C03,,,Avaliação de desempenho: nota 3/5
EVT000334,FUNC00133,2026-03-13,Desligamento,D06,C13,2148.68,,Desligamento sem justa causa
EVT000335,FUNC00137,2026-03-07,Promoção,D04,C02,4086.01,4500,Promoção de Recrutador para Analista Pleno
EVT000336,FUNC00141,2026-03-05,Avaliação,D05,C05,,,Avaliação de desempenho: nota 5/5
EVT000337,FUNC00156,2026-03-06,Avaliação,D08,C03,,,Avaliação de desempenho: nota 1/5
EVT000338,FUNC00160,2026-03-20,Alteração Salarial,D06,C06,14000.0,15673.3,Retenção de talento
EVT000339,FUNC00162,2026-03-01,Alteração Salarial,D06,C08,3500.0,3641.47,Ajuste de mercado
EVT000340,FUNC00163,2026-03-13,Avaliação,D06,C14,,,Avaliação de desempenho: nota 3/5
EVT000341,FUNC00166,2026-03-21,Promoção,D04,C02,2202.1,4500,Promoção de Assistente Administrativo para Analista Pleno
EVT000342,FUNC00171,2026-03-29,Avaliação,D03,C12,,,Avaliação de desempenho: nota 5/5
EVT000343,FUNC00173,2026-03-26,Avaliação,D08,C10,,,Avaliação de desempenho: nota 2/5
EVT000344,FUNC00181,2026-03-08,Desligamento,D04,C12,3556.71,,Pedido de demissão
EVT000345,FUNC00182,2026-03-30,Avaliação,D04,C13,,,Avaliação de desempenho: nota 5/5
EVT000346,FUNC00184,2026-03-31,Avaliação,D08,C07,,,Avaliação de desempenho: nota 5/5
EVT000347,FUNC00189,2026-03-02,Avaliação,D03,C07,,,Avaliação de desempenho: nota 2/5
